family,op_pair,producer_class,consumer_class,dtype,R,C,arith_intensity,beneficial,bytes_fused,bytes_unfused,f_occ,f_occ_binder,f_regs,f_smem,f_spilled,f_spills,f_threads,flops,maxdiff,n_launches_unfused,param_BLOCK,param_BLOCK_C,param_BLOCK_R,param_GS,param_K,param_NOUT,param_num_warps,speedup,t_fused_min,t_fused_ms,t_unfused_min,t_unfused_ms,u_occ,u_regs,u_smem,u_spilled,u_spills,f_reread,u_reread,param_M,param_N
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,2048,2048,1.25,0,16777216,16777216,1.0,warps,18,0.0,0.0,0,128.0,20971520,0.0,1,1024.0,,,,1.0,,4.0,0.9687,0.09216,0.0983,0.08909,0.09523,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,2048,2048,0.625,0,33554432,33554432,1.0,warps,21,0.0,0.0,0,128.0,20971520,0.0,1,1024.0,,,,1.0,,4.0,0.9973,0.1751,0.18637,0.1751,0.18586,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,2048,2048,2.5,1,16777216,33554432,1.0,warps,19,0.0,0.0,0,128.0,41943040,0.0,2,1024.0,,,,2.0,,4.0,1.3016,0.09011,0.09677,0.11059,0.12595,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,2048,2048,1.25,1,33554432,67108864,1.0,warps,25,0.0,0.0,0,128.0,41943040,0.0,2,1024.0,,,,2.0,,4.0,1.4277,0.15462,0.16282,0.21709,0.23245,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,2048,2048,5.0,1,16777216,67108864,1.0,warps,19,0.0,0.0,0,128.0,83886080,0.0,4,1024.0,,,,4.0,,4.0,1.711,0.11059,0.11162,0.1792,0.19098,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,2048,2048,2.5,1,33554432,134217728,1.0,warps,24,0.0,0.0,0,128.0,83886080,0.0,4,1024.0,,,,4.0,,4.0,2.3981,0.1536,0.16077,0.35942,0.38554,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,2048,2048,10.0,1,16777216,134217728,1.0,warps,19,0.0,0.0,0,128.0,167772160,0.0,8,1024.0,,,,8.0,,4.0,1.7447,0.19251,0.19456,0.2857,0.33946,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,2048,2048,5.0,1,33554432,268435456,1.0,warps,23,0.0,0.0,0,128.0,167772160,0.0,8,1024.0,,,,8.0,,4.0,3.578,0.18432,0.19046,0.62566,0.68147,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,2048,2048,20.0,1,16777216,268435456,1.0,warps,19,0.0,0.0,0,128.0,335544320,0.0,16,1024.0,,,,16.0,,4.0,1.8625,0.37069,0.3799,0.58061,0.70758,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,2048,2048,10.0,1,33554432,536870912,1.0,warps,23,0.0,0.0,0,128.0,335544320,0.0,16,1024.0,,,,16.0,,4.0,3.9212,0.39424,0.39629,1.18067,1.55392,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float16,2048,2048,40.0,1,16777216,536870912,1.0,warps,19,0.0,0.0,0,128.0,671088640,0.0,32,1024.0,,,,32.0,,4.0,2.4161,0.73523,0.74445,1.11821,1.79866,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,2048,2048,20.0,1,33554432,1073741824,1.0,warps,23,0.0,0.0,0,128.0,671088640,0.0,32,1024.0,,,,32.0,,4.0,4.918,0.69837,0.73011,2.36339,3.59066,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,4096,4096,1.25,0,67108864,67108864,1.0,warps,18,0.0,0.0,0,128.0,83886080,0.0,1,1024.0,,,,1.0,,4.0,0.9952,0.30208,0.31898,0.30106,0.31744,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,4096,4096,0.625,1,134217728,134217728,1.0,warps,21,0.0,0.0,0,128.0,83886080,0.0,1,1024.0,,,,1.0,,4.0,1.0049,0.59494,0.62925,0.59802,0.63232,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,4096,4096,2.5,1,67108864,134217728,1.0,warps,19,0.0,0.0,0,128.0,167772160,0.0,2,1024.0,,,,2.0,,4.0,1.9886,0.29696,0.31386,0.58982,0.62413,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,4096,4096,1.25,1,134217728,268435456,1.0,warps,25,0.0,0.0,0,128.0,167772160,0.0,2,1024.0,,,,2.0,,4.0,1.9738,0.59699,0.62566,1.16941,1.23494,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,4096,4096,5.0,1,67108864,268435456,1.0,warps,19,0.0,0.0,0,128.0,335544320,0.0,4,1024.0,,,,4.0,,4.0,1.935,0.64614,0.70144,1.17658,1.35731,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,4096,4096,2.5,1,134217728,536870912,1.0,warps,24,0.0,0.0,0,128.0,335544320,0.0,4,1024.0,,,,4.0,,4.0,3.4175,0.59392,0.9431,2.49446,3.22304,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,4096,4096,10.0,1,67108864,536870912,1.0,warps,19,0.0,0.0,0,128.0,671088640,0.0,8,1024.0,,,,8.0,,4.0,3.2708,0.98611,0.9984,2.44019,3.26554,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,4096,4096,5.0,1,134217728,1073741824,1.0,warps,23,0.0,0.0,0,128.0,671088640,0.0,8,1024.0,,,,8.0,,4.0,4.2165,0.84787,1.30765,4.95104,5.51373,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,4096,4096,20.0,1,67108864,1073741824,1.0,warps,19,0.0,0.0,0,128.0,1342177280,0.0,16,1024.0,,,,16.0,,4.0,4.3912,1.60768,1.60973,4.89779,7.06867,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,4096,4096,10.0,1,134217728,2147483648,1.0,warps,23,0.0,0.0,0,128.0,1342177280,0.0,16,1024.0,,,,16.0,,4.0,7.6947,1.35987,1.70394,9.65222,13.1113,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float16,4096,4096,40.0,1,67108864,2147483648,1.0,warps,19,0.0,0.0,0,128.0,2684354560,0.0,32,1024.0,,,,32.0,,4.0,4.9823,2.88461,2.97677,10.91277,14.8311,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,4096,4096,20.0,1,134217728,4294967296,1.0,warps,23,0.0,0.0,0,128.0,2684354560,0.0,32,1024.0,,,,32.0,,4.0,8.8268,2.9655,3.06278,22.48704,27.03462,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,8192,2048,1.25,0,67108864,67108864,1.0,warps,18,0.0,0.0,0,128.0,83886080,0.0,1,1024.0,,,,1.0,,4.0,0.9986,0.34406,0.36557,0.34202,0.36506,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,8192,2048,0.625,0,134217728,134217728,1.0,warps,21,0.0,0.0,0,128.0,83886080,0.0,1,1024.0,,,,1.0,,4.0,0.988,0.59802,0.63795,0.59699,0.63027,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,8192,2048,2.5,1,67108864,134217728,1.0,warps,19,0.0,0.0,0,128.0,167772160,0.0,2,1024.0,,,,2.0,,4.0,1.9694,0.30003,0.31744,0.5929,0.62515,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,8192,2048,1.25,1,134217728,268435456,1.0,warps,25,0.0,0.0,0,128.0,167772160,0.0,2,1024.0,,,,2.0,,4.0,1.9814,0.60006,0.63232,1.17862,1.25286,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,8192,2048,5.0,1,67108864,268435456,1.0,warps,19,0.0,0.0,0,128.0,335544320,0.0,4,1024.0,,,,4.0,,4.0,2.3044,0.56832,0.66765,1.17965,1.53856,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,8192,2048,2.5,1,134217728,536870912,1.0,warps,24,0.0,0.0,0,128.0,335544320,0.0,4,1024.0,,,,4.0,,4.0,2.8645,0.68506,1.27386,2.88461,3.64902,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,8192,2048,10.0,1,67108864,536870912,1.0,warps,19,0.0,0.0,0,128.0,671088640,0.0,8,1024.0,,,,8.0,,4.0,3.1147,1.01171,1.04858,2.39718,3.26605,1.0,18,0.0,0.0,0,1,1,,
