family,op_pair,producer_class,consumer_class,dtype,R,C,arith_intensity,beneficial,bytes_fused,bytes_unfused,f_occ,f_occ_binder,f_regs,f_smem,f_spilled,f_spills,f_threads,flops,maxdiff,n_launches_unfused,param_BLOCK,param_BLOCK_C,param_BLOCK_R,param_GS,param_K,param_NOUT,param_num_warps,speedup,t_fused_min,t_fused_ms,t_unfused_min,t_unfused_ms,u_occ,u_regs,u_smem,u_spilled,u_spills,f_reread,u_reread,param_M,param_N
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,2048,2048,1.25,1,16777216,16777216,1.0,warps,45,0.0,0.0,0,256.0,20971520,0.0,1,1024.0,,,,1.0,,4.0,1.0069,0.0361,0.03686,0.03661,0.03712,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,2048,2048,0.625,0,33554432,33554432,1.0,warps,48,0.0,0.0,0,256.0,20971520,0.0,1,1024.0,,,,1.0,,4.0,0.9937,0.03968,0.04045,0.03942,0.04019,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,2048,2048,2.5,1,16777216,33554432,1.0,warps,46,0.0,0.0,0,256.0,41943040,0.0,2,1024.0,,,,2.0,,4.0,1.1311,0.05222,0.05274,0.05862,0.05965,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,2048,2048,1.25,1,33554432,67108864,1.0,regs,57,0.0,0.0,0,256.0,41943040,0.0,2,1024.0,,,,2.0,,4.0,1.2438,0.05094,0.05146,0.06298,0.064,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,2048,2048,5.0,1,16777216,67108864,1.0,warps,46,0.0,0.0,0,256.0,83886080,0.0,4,1024.0,,,,4.0,,4.0,1.1982,0.08474,0.08525,0.10086,0.10214,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,2048,2048,2.5,1,33554432,134217728,1.0,regs,57,0.0,0.0,0,256.0,83886080,0.0,4,1024.0,,,,4.0,,4.0,1.4281,0.08141,0.08192,0.11571,0.11699,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,2048,2048,10.0,1,16777216,134217728,1.0,warps,46,0.0,0.0,0,256.0,167772160,0.0,8,1024.0,,,,8.0,,4.0,1.2838,0.14925,0.14976,0.1899,0.19226,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,2048,2048,5.0,1,33554432,268435456,1.0,regs,57,0.0,0.0,0,256.0,167772160,0.0,8,1024.0,,,,8.0,,4.0,1.5586,0.14106,0.14208,0.21939,0.22144,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,2048,2048,20.0,1,16777216,268435456,1.0,warps,46,0.0,0.0,0,256.0,335544320,0.0,16,1024.0,,,,16.0,,4.0,1.3183,0.28058,0.28109,0.3689,0.37056,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,2048,2048,10.0,1,33554432,536870912,1.0,regs,57,0.0,0.0,0,256.0,335544320,0.0,16,1024.0,,,,16.0,,4.0,1.6185,0.26496,0.26573,0.42829,0.43008,1.0,48,0.0,0.0,0,1,1,,
