M,N,K,BM,BN,dtype,f_regs,f_spills,f_occ,t_fused_ms,t_unfused_ms,speedup,beneficial,maxdiff,idx
2048,2048,512,64,64,float16,84,0,0.417,0.2734,0.3308,1.21,1,0,0
2048,2048,512,64,64,float32,96,0,0.25,0.5458,0.598,1.096,1,0,1
2048,2048,512,128,128,float16,232,0,0.167,0.2872,0.341,1.187,1,0,2
2048,2048,512,128,128,float32,255,0,0.083,0.596,0.6625,1.112,1,0,3
2048,2048,2048,64,64,float16,84,0,0.417,1.0199,1.1182,1.096,1,0,4
2048,2048,2048,64,64,float32,96,0,0.25,2.1069,2.2093,1.049,1,0,5
2048,2048,2048,128,128,float16,232,0,0.167,1.0455,1.0993,1.051,1,0,6
2048,2048,2048,128,128,float32,255,0,0.083,2.2098,2.3357,1.057,1,0,7
4096,4096,512,64,64,float16,84,0,0.417,1.1259,2.0332,1.806,1,0,8
4096,4096,512,64,64,float32,96,0,0.25,2.4842,3.0566,1.23,1,0,9
4096,4096,512,128,128,float16,232,0,0.167,1.2447,1.8268,1.468,1,0,10
4096,4096,512,128,128,float32,255,0,0.083,2.3055,2.9266,1.269,1,0,11
1024,1024,4096,64,64,float16,84,0,0.417,0.5315,0.5591,1.052,1,0,12
1024,1024,4096,64,64,float32,96,0,0.25,1.1377,1.1069,0.973,0,0,13
1024,1024,4096,128,128,float16,232,0,0.167,0.6164,0.5898,0.957,0,0,14
1024,1024,4096,128,128,float32,255,0,0.083,1.195,1.2288,1.028,1,0,15
