family,op_pair,producer_class,consumer_class,dtype,R,C,arith_intensity,beneficial,bytes_fused,bytes_unfused,f_occ,f_occ_binder,f_regs,f_smem,f_spilled,f_spills,f_threads,flops,maxdiff,n_launches_unfused,param_BLOCK,param_BLOCK_C,param_BLOCK_R,param_GS,param_K,param_NOUT,param_num_warps,speedup,t_fused_min,t_fused_ms,t_unfused_min,t_unfused_ms,u_occ,u_regs,u_smem,u_spilled,u_spills
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,2048,2048,1.25,1,16777216,16777216,1.0,warps,18,0,0,0,128,20971520,0.00e+00,1,1024,,,,1,,4,1.0829,0.08806,0.09267,0.09114,0.10035,1.0,18,0,0,0
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,2048,2048,0.625,1,33554432,33554432,1.0,warps,21,0,0,0,128,20971520,0.00e+00,1,1024,,,,1,,4,1.0083,0.17408,0.18483,0.17306,0.18637,1.0,21,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,2048,2048,2.5,1,16777216,33554432,1.0,warps,19,0,0,0,128,41943040,0.00e+00,2,1024,,,,2,,4,1.3459,0.08602,0.09472,0.11162,0.12749,1.0,18,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,2048,2048,1.25,1,33554432,67108864,1.0,warps,25,0,0,0,128,41943040,0.00e+00,2,1024,,,,2,,4,1.3875,0.15667,0.16384,0.21709,0.22733,1.0,21,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,2048,2048,5.0,1,16777216,67108864,1.0,warps,19,0,0,0,128,83886080,0.00e+00,4,1024,,,,4,,4,1.6852,0.10342,0.11059,0.17613,0.18637,1.0,18,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,2048,2048,2.5,1,33554432,134217728,1.0,warps,24,0,0,0,128,83886080,0.00e+00,4,1024,,,,4,,4,2.2327,0.15462,0.16282,0.35328,0.36352,1.0,21,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,2048,2048,10.0,1,16777216,134217728,1.0,warps,19,0,0,0,128,167772160,0.00e+00,8,1024,,,,8,,4,1.4814,0.19149,0.22016,0.3072,0.32614,1.0,18,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,2048,2048,5.0,1,33554432,268435456,1.0,warps,23,0,0,0,128,167772160,0.00e+00,8,1024,,,,8,,4,3.2513,0.19251,0.20378,0.62874,0.66253,1.0,21,0,0,0
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,2048,2048,20.0,1,16777216,268435456,1.0,warps,19,0,0,0,128,335544320,0.00e+00,16,1024,,,,16,,4,1.2899,0.41267,0.52634,0.58061,0.67891,1.0,18,0,0,0
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,2048,2048,10.0,1,33554432,536870912,1.0,warps,23,0,0,0,128,335544320,0.00e+00,16,1024,,,,16,,4,3.22,0.41882,0.4352,1.17862,1.40134,1.0,21,0,0,0
